Type,Kind,Topic,Keyword,Count
ALL,triple,Content moderation + Censorship + Media moderation,Common carriage / neutral conduit,95
ALL,triple,Content moderation + Censorship + Media moderation,Media owners,94
ALL,triple,Content moderation + Censorship + Media moderation,Social responsibility / self-regulation,79
ALL,triple,Content moderation + Censorship + Media moderation,Cloud / infrastructure providers,67
ALL,triple,Content moderation + Censorship + Media regulation,Broadcasting regulators,69
ALL,triple,Censorship + Media moderation + Media regulation,Religious authorities,192
ALL,center,(≥5 categories),Removal,2782
ALL,center,(≥5 categories),Filtering,2503
ALL,center,(≥5 categories),Review,2283
ALL,center,(≥5 categories),Regulative,2249
ALL,center,(≥5 categories),Platforms,2177
ALL,center,(≥5 categories),Compliance,1878
ALL,center,(≥5 categories),Political control,1816
ALL,center,(≥5 categories),Enframing,1577
ALL,center,(≥5 categories),Misinformation or disinformation as harm,1360
ALL,center,(≥5 categories),Government agencies,1327
WHAT,exclusive,Content moderation,Moderation as industrial labour,177
WHAT,exclusive,Content moderation,Content moderation as industrial labour,4
WHAT,exclusive,Content moderation,Content moderation as censorship,3
WHAT,exclusive,Content moderation,internet rights constitutionalism,3
WHAT,exclusive,Debate management,value jurisprudence critique,3
WHAT,pair,Content moderation + Censorship,Platform regulation,579
WHAT,pair,Content moderation + Censorship,Censorship,577
WHAT,pair,Content moderation + Censorship,Brand safety,109
WHAT,pair,Content moderation + Censorship,Infrastructural,82
WHAT,pair,Content moderation + Censorship,Moderating extremism,77
WHAT,pair,Censorship + Media regulation,Advisory classification / audience segmentation,34
WHAT,triple,Content moderation + Censorship + Debate management,Constitutive,414
WHAT,triple,Content moderation + Censorship + Debate management,Debate management,112
WHAT,triple,Content moderation + Censorship + Media moderation,Platform governance,1647
WHAT,triple,Content moderation + Censorship + Media moderation,Compliance,622
WHAT,triple,Content moderation + Censorship + Media moderation,Common carriage / neutral conduit,94
WHAT,triple,Content moderation + Censorship + Media moderation,Social responsibility / self-regulation,79
WHAT,center,(≥3 categories),Regulative,2249
WHAT,center,(≥3 categories),Platform governance,1647
WHAT,center,(≥3 categories),Compliance,622
WHAT,center,(≥3 categories),Constitutive,414
WHAT,center,(≥3 categories),Community norms and identity,410
WHAT,center,(≥3 categories),Gatekeeping (selection theory),240
WHAT,center,(≥3 categories),Debate management,112
WHAT,center,(≥3 categories),Common carriage / neutral conduit,94
WHAT,center,(≥3 categories),Social responsibility / self-regulation,79
WHAT,center,(≥3 categories),Public trusteeship / public interest,51
WHO,exclusive,Content moderation,App stores,29
WHO,exclusive,Content moderation,AI labs as moderators,14
WHO,exclusive,Content moderation,RLHF annotators,9
WHO,exclusive,Censorship,Translators / localisers,74
WHO,pair,Content moderation + Censorship,Platform oversight bodies,209
WHO,pair,Content moderation + Censorship,"Public-private partnerships (""free-speech triangle"")",162
WHO,pair,Content moderation + Censorship,Private firms,86
WHO,pair,Content moderation + Censorship,Distributors & booksellers,85
WHO,pair,Content moderation + Censorship,Advertisers,80
WHO,pair,Content moderation + Censorship,Self-censorship (analytical),77
WHO,pair,Content moderation + Censorship,Online mobs / pile-ons,54
WHO,pair,Content moderation + Censorship,Military censors,52
WHO,pair,Content moderation + Censorship,Pre-platform moderators,50
WHO,pair,Content moderation + Censorship,Public-health bodies (NGOs / WHO),40
WHO,triple,Content moderation + Censorship + Debate management,Fact-checkers and verification units,141
WHO,triple,Content moderation + Censorship + Debate management,Mediators,81
WHO,triple,Content moderation + Censorship + Media moderation,Regulators,329
WHO,triple,Content moderation + Censorship + Media moderation,Media owners,94
WHO,triple,Content moderation + Censorship + Media moderation,Cloud / infrastructure providers,67
WHO,triple,Content moderation + Censorship + Media moderation,Press councils & ombudsmen,15
WHO,triple,Content moderation + Censorship + Media regulation,Broadcasting regulators,69
WHO,triple,Censorship + Media moderation + Media regulation,Religious authorities,192
WHO,center,(≥4 categories),Platforms,2177
WHO,center,(≥4 categories),Government agencies,1327
WHO,center,(≥4 categories),Users,957
WHO,center,(≥4 categories),Algorithmic moderation systems,865
WHO,center,(≥4 categories),Courts and prosecutors,693
WHO,center,(≥4 categories),"Schools, curricula, librarians, academia",467
WHO,center,(≥4 categories),Legislators,424
WHO,center,(≥4 categories),Content moderators / BPO workforces,423
WHO,center,(≥4 categories),Editors,392
WHO,center,(≥4 categories),Censorship boards or agencies,341
HOW,exclusive,Content moderation,Transparency in moderation/reporting,5
HOW,exclusive,Censorship,Flooding,10
HOW,pair,Content moderation + Debate management,Bridging,54
HOW,triple,Content moderation + Censorship + Debate management,Redirection,159
HOW,triple,Content moderation + Censorship + Debate management,Intermediate,157
HOW,triple,Content moderation + Censorship + Debate management,Inclusion,54
HOW,triple,Content moderation + Censorship + Media moderation,Obfuscation,197
HOW,triple,Content moderation + Censorship + Media moderation,Confiscation,160
HOW,center,(≥5 categories),Removal,2782
HOW,center,(≥5 categories),Filtering,2503
HOW,center,(≥5 categories),Review,2283
HOW,center,(≥5 categories),Enframing,1577
HOW,center,(≥5 categories),Monitoring,1306
HOW,center,(≥5 categories),Blocking,1066
HOW,center,(≥5 categories),Modification,953
HOW,center,(≥5 categories),Profiling,855
HOW,center,(≥5 categories),Labeling,823
HOW,center,(≥5 categories),Self-censorship,765
WHY,exclusive,Content moderation,Freedom of speech or information,8
WHY,exclusive,Content moderation,Public interest,4
WHY,exclusive,Content moderation,Free expression,3
WHY,exclusive,Debate management,Inclusion,5
WHY,pair,Content moderation + Censorship,Consumer protection / fair competition,100
WHY,pair,Content moderation + Censorship,Alignment with human values,91
WHY,pair,Content moderation + Censorship,Clear and present danger,52
WHY,pair,Content moderation + Censorship,State secrets,33
WHY,pair,Content moderation + Censorship,Genocide prevention / dangerous speech,30
WHY,pair,Content moderation + Censorship,Coersive,11
WHY,triple,Content moderation + Censorship + Debate management,Harm reduction / public health,243
WHY,triple,Content moderation + Censorship + Debate management,Fair trial / administration of justice,40
WHY,triple,Content moderation + Censorship + Debate management,Fairness,17
WHY,triple,Content moderation + Censorship + Media moderation,Economic pressure,376
WHY,triple,Content moderation + Censorship + Media moderation,Wartime necessity,104
WHY,center,(≥5 categories),Political control,1816
WHY,center,(≥5 categories),Misinformation or disinformation as harm,1360
WHY,center,(≥5 categories),Social cohesion,1316
WHY,center,(≥5 categories),Compliance,1256
WHY,center,(≥5 categories),Harm principles and hate speech regulation,1148
WHY,center,(≥5 categories),Brand safety,1074
WHY,center,(≥5 categories),"Privacy, reputation & dignity",1002
WHY,center,(≥5 categories),Protection of children,883
WHY,center,(≥5 categories),State security,868
WHY,center,(≥5 categories),Professional / industry self-governance,661
