Citations,Publication Year,Discipline,Sub-topic,Title,Author,Key,Abstract Note,Language
5,1999,history_book_history,Constitutive,El libro y la censura durante el franquismo : un estado de la cuestión y otras consideraciones,"Blas, J. Andrés De",ZIJZ3GPI,"Contra la afirmación, que ya amenazaba con volverse lugar común, de que «la censura del libro en el periodo franquista ha sido ya muy estudiada», este artículo sostiene la hipótesis contraria. Para ello, se fia realizado un estudio del estado de la cuestión que se ha procurado exhaustivo, en tanto la censura afecta tanto al emisor como al receptor y por ende al propio texto. En el mismo se apuntan también algunas causas de ese desconocimiento, y entre ellas la confusión terminológica existente entre «censura» y «represión cultural», realizando, en este último caso, algunas teorizaciones que intentan definir con precisión ambos términos. Finalmente, se aporta una bibliografía que podría servir de punto de partida para otras investigaciones.Contrary to the statement threatening to become a granted assumption —that the books censorship during Franco's regime has already been well studied— this article holds the opposite hypothesis. Since the censorship affects in the same way both the transmitter (the author) and the receiver (the reader), therefore also the text itself, a thorough research about the heart of the matter has been carried out. Some of the reasons for the lack of knowledge about this question are also ponted out in this article being one of them the terminological confusión between «censorship» and «cultural repression». Regarding this last issue and in order to define accuarately both terms, some thories ha ve been developed. Finally, a bibliography maybe useful as a starting point for further research is included.",en
1,2001,sociology_anthropology,Constitutive,La censure ou comment la contourner: dire et ne pas dire dans l'Égypte contemporaine,Dyala Hamzah,DCAH4KSJ,"Critique de cinéma, cAlî Abû Shâdî devient censeur au ministère de la Culture avant d’être promu directeur de l’Organisme des palais de la culture. En sa nouvelle qualité, il fait publier, en janvier 2001, dans l’une des collections de l’Organisme (« Voix littéraires »), trois nouveaux romans jugés « pornographiques » par un député récemment élu, affilié aux Frères musulmans. Indigné par cette littérature qu’il juge attentatoire à la pudeur, ce dernier soulève la question devant le parlement,...",fr
0,2002,arts_literary_cultural_studies,Constitutive,Outlaw representation: censorship & homosexuality in twentieth-century American art,"Meyer, Richard",KFBDS7JR,,en
95,2003,sociology_anthropology,Constitutive,"Censorship as a Vocation: The Institutions, Practices, and Cultural Logic of Media Control in the German Democratic Republic","Boyer, Dominic",R93ZC385,"What do you think you would find on the desk of a censor? He—almost certainly “he”—would not need much. A jar filled with blue pencils. A coffee cup. A phone for whispering praise to the higher-ups and for ignoring the entreaties of his victims. For reading material, an ideological reference manual or a dog-eared sheaf of instructions would suffice. Surely, one would not expect to find any actual books on the censor's shelves—why read when your life is committed to eviscerating literature?",en
0,2003,history_book_history,Constitutive,CENSURA COMO HISTORIA,"Abellán, Manuel L",WLNRQ6ZQ,,und
57,2004,arts_literary_cultural_studies,Constitutive,Censorship & Cultural Regulation in the Modern Age,"Müller, Beate",G8N63SBL,"‘Censorship’ has become a fashionable topic, not only because of newly available archival material from Eastern Europe and the former Soviet Union, but also because the ‘new censorship’ (inspired by the works of Foucault and Bourdieu) has widened the very concept of censorhip beyond its conventional boundaries. This volume uses these new materials and perspectives to address the relationship of censorship to cultural selection processes (such as canon formation), economic forces, social exclusion, professional marginalization, silencing through specialized discourses, communicative norms, and other forms of control and regulation. Two articles in this collection investigate these issue theoretically. The remaining eight contributions address the issues by investigating censorial practice across time and space by looking at the closure of Paul’s playhouse in 1606; the legacy of 19th century American regulations and representation of women teachers; the relationship between official and samizdat publishing in Communist Poland; the ban on Gegenwartsfilme (films about contemporary society) in East Germany in 1965/66; the censorship of modernist music in Weimar and Nazi Germany; the GDR’s censorship of jazz and avantgarde music in the early 1950s; Aesopian strategies of textual resistance in the pop music of apartheid South Africa and in the stories of Mario Benedetti.",en
57,2004,history_book_history,Constitutive,Censorship and Cultural Regulation in the Modern Age,"Müller, Beate",8CBKXD2Y,"‘Censorship’ has become a fashionable topic, not only because of newly available archival material from Eastern Europe and the former Soviet Union, but also because the ‘new censorship’ (inspired by the works of Foucault and Bourdieu) has widened the very concept of censorhip beyond its conventional boundaries. This volume uses these new materials and perspectives to address the relationship of censorship to cultural selection processes (such as canon formation), economic forces, social exclusion, professional marginalization, silencing through specialized discourses, communicative norms, and other forms of control and regulation. Two articles in this collection investigate these issue theoretically. The remaining eight contributions address the issues by investigating censorial practice across time and space by looking at the closure of Paul’s playhouse in 1606; the legacy of 19th century American regulations and representation of women teachers; the relationship between official and samizdat publishing in Communist Poland; the ban on Gegenwartsfilme (films about contemporary society) in East Germany in 1965/66; the censorship of modernist music in Weimar and Nazi Germany; the GDR’s censorship of jazz and avantgarde music in the early 1950s; Aesopian strategies of textual resistance in the pop music of apartheid South Africa and in the stories of Mario Benedetti.",en
28,2004,communication_media_studies,Constitutive,Censorship in libraries,"Oppenheim, Charles; Smith, Victoria",3KC3THYQ,"Censorship is an issue which has been present throughout recorded history. From the beginning, it has been used by individuals and groups to prevent and control the creation, access and dissemination of ideas and information. It has taken many different forms and occurred for many different reasons. The relationship between librarians and censorship is, and has been, a troubled one. The difﬁculty lies in the conﬂict of between the obligation the librarian has to serve his or her community, users and governing bodies for which they work for and are funded by. Religion, politics and sex cause particular problems. This paper attempts to examine what the role of the librarian is in facilitating access to controversial information. It reports the results of research involving the questioning of key ﬁgures in the Michael Moore “Stupid White Men” case study and the following organisations and people: ALA, CILIP, Judith Krug of the Ofﬁce of Intellectual Freedom (OIF) and Corey Mwamaba (librarian, Derby Library). The paper concludes that there is an intellectual freedom ideal in the library profession. This ideal is difﬁcult to implement in a public library, but is still a worthy ideal and one which forms the core of the role of a librarian.",en
172,2006,arts_literary_cultural_studies,Constitutive,British modernism and censorship,C Marshik,H96WYN4N,"… Celia Marshik argues that censorship can benefit as well as harm writers and the works they … unofficial censorship, of individual writers and their relationships to such censorship and of …",en
135,2006,communication_media_studies,Constitutive,"Government-run Online Discussion Fora: Moderation, Censorship and the Shadow of Control1","Wright, Scott",4WG2TDT9,"Moderators are widely thought to be crucial to the facilitation of high-quality democratic debate, particularly in government-sponsored participatory exercises. There are, however, persistent fears that moderators censor rather than promote free speech, leading to a ‘shadow of control’. This article analyses the relationship between moderation and censorship on two British central government online discussion fora: Downing Street's Speaker's Corner and Policy Forum, and Citizen Space's E-Democracy Forum. Two models of moderation are developed to help structure the analysis. The main conclusions are that moderation strategies must be clearly linked to the policy goals behind the forum, and that the moderator's roles should be separated to limit the so-called ‘shadow’. The censorial role being conducted by an independent body, with facilitation activities conducted by civil servants linked to the policy being discussed.",en
15,2006,arts_literary_cultural_studies,Constitutive,Censure et autocensure de l'écrivain:,"Ducas, Sylvie",I23I6XC4,"Résumé Fondée sur une enquête par entretiens menée auprès d’une soixantaine d’écrivains contemporains, cette étude s’inscrit dans une réflexion sur la construction identitaire de l’écrivain, dans son rapport à l’écriture et aux différents agents du champ littéraire. Elle explore deux types de censure : les censures du texte (coupes, biffures, réécritures…) et les censures d’image (refus de l’identité sexuelle, recours au pseudonyme, état civil corrigé…). Elle vise à montrer que si l’autocensure est toujours un acte de protection qui engage la relation au lecteur, loin d’être un frein à la création, elle est souvent, au contraire, une des conditions de l’œuvre littéraire.",fr
63,2007,communication_media_studies,Constitutive,A virtual European public sphere? The Futurum discussion forum,"Wright, Scott",BPNZKIVU,"This paper empirically analyses whether ‘Futurum’, the online discussion forum linked to the Convention on the Future of Europe, constituted a public sphere – and, if so, what kind. Although the debates were discursive and had an institutional context, they were not ﬁltered into the convention process and had an unrepresentative group of participants and thus they sit ill at ease with established conceptualizations of the public sphere.",en
80,2008,censorship_studies,Constitutive,Tabú y lenguaje: las palabras vitandas y la censura lingüística,PJC Domínguez,LQ6EJRL7,"A pesar de que la censura del lenguaje ejerce algunas funciones inexcusables para la vida en sociedad, el tema de las palabras prohibidas ha sido escasamente estudiado. Este …",es
51,2008,history_book_history,Constitutive,A censura ao teatro no período marcelista,A Cabrera,NYTJV8W6,… A censura funcionava … censura ao teatro e à imprensa este artigo cruza informação de diversos arquivos e pretende analisar a actuação e o funcionamento das Comissões de Censura …,pt
4,2008,arts_literary_cultural_studies,Constitutive,Censure ou sensure?,N Roelens,J277L4Z9,"Mon 1 objectif n’est pas de donner un aperçu historique de la censure, préventive à ses débuts, répressive dès l’invention de l’imprimerie, etc. Des auteurs comme Robert Netz et Jean-…",fr
0,2008,communication_media_studies,Constitutive,What Is Behind Film Censorship? The Khalnayak Debates,"Mehta, Monika",27F4MJK9,,en
29,2009,education_pedagogy,Constitutive,“Not Censorship but Selection”: Censorship and/as Prizing,"Kidd, Kenneth",35SJNU55,"This essay calls for a fresh critical approach to the topic of censorship, suggesting that anticensorship efforts, while important and necessary, function much like literary prizing. The analysis draws especially on James English’s recent study The Economy of Prestige. There are two central arguments: ﬁrst, that the librarian ethic of ‘‘selection’’––introduced by Lester Asheim in 1953 as a counterpoint to censorship––has contributed to the unfortunate construction of the censor as a ‘‘moron’’; and second, that anticensorship efforts more generally tend toward uncritical canon-making, attributing value to books simply because they’ve been censored or (more typically) challenged.",en
25,2009,communication_media_studies,Constitutive,The Role of the Moderator: Problems and Possibilities for Government-Run Online Discussion Forums,"Wright, Scott",TXQNFZ6U,,en
9,2009,communication_media_studies,Constitutive,Censure répressive et censure structurale : comment penser la censure dans le processus de communication ?,"Martin, Laurent",7MKBFD6V,"La censure est-elle sur le point de disparaître du paysage des pays occidentaux ? Il semble que oui, tant ses manifestations font de plus en plus figure de scandale, alors que son but principal, au XIXe siècle, était précisément d’éviter le scandale, cette explosion dangereuse et coûteuse pour l’ordre politique et social. Pour tant, la censure a moins disparu qu’elle ne s’est transformée, prenant d’autres formes, en particulier judiciaires et même « invisibles ». Dans cette contribution, nous interrogeons donc la portée heuristique de l’élargissement du sens de la censure, pour déterminer si celle-ci est une pathologie du processus de communication ou bien, au contraire, l’une de ses composantes essentielles. , Is censorship at the edge of vanishing of our Western countries’ landscape? It seems to, as it appears more and more as a scandal, while its main purpose, in 19th Century, was to avoid the scandal, this dangerous and costly blast in the political and social order. However, censorship has not so much disappeared as it has chosen other shapes and means, especially judiciary and even « invisible » ones. In this article, we focus on the heuristic significance of the widening of the meaning of censorship, so as to determine if that social phenomenon is a pathology of the process of communication or, on the contrary, one of its key components.",fr
4,2009,censorship_studies,Constitutive,"Community, space and online censorship: regulating pornotopia","Beattie, Scott",YXZ7HP4E,"1. Introduction : classification refused -- 2. ""Protect me from what I want"" : censorship and internet classification -- 3. Co-regulation and symbolic policy : the Broadcasting Services Amendment (Online Services) Act 1999 -- 4. ""Taking the red pill"" : cyberspace, jurispace and the architecture of regulation -- 5. Sexx laws : the spatial strategies of censorship -- 6. Censorship, power and regulatory communities",en
3,2009,history_book_history,Constitutive,De la censure comme capillarité,A Viala,7CIQR32H,"… La censure des publications est donc, de nos jours, usuelle, … ’histoire littéraire, que la censure de Madame Bovary scandalise et … , un colloque sur la censure au temps des Lumières1 où …",fr
0,2009,history_book_history,Constitutive,Censura cultural y dictadura,"Delgado, Por Verónica; Merbilháa, Margarita; Príncipi, Ana; Rogers, Geraldine",VXVXMCGF,,es
0,2009,history_book_history,Constitutive,Le istituzioni della censura nel ventennio brezneviano,M Zalambani,BC9BMAML,"… trascendente, l’habitus, che commuta il censore esterno in censore dell’anima. La punta emergente dell’iceberg è costituita da un rigido sistema istituzionale culturale che fa della …",it
1,2010,history_book_history,Constitutive,Les effets surprenants de la censure ou comment l'esprit vient aux philosophes,N Masson,FNFUF479,"L’angle sous lequel je vais traiter de la censure au XVIIIe siècle peut sembler paradoxal, voire provocateur. Cependant mon propos repose sur l’idée que le pouvoir, en contrôlant ou en …",fr
20,2011,arts_literary_cultural_studies,Constitutive,Translating queer texts in Soviet Russia: A case study in productive censorship,"Baer, Brian James",YJZXGP4D,"Abstract This article contributes to recent scholarship on censorship and translation by exploring the phenomenon of productive censorship, or the artful evasion of censorship restrictions by authors and their readers, in the context of Soviet Russia. Specifically, the work of three homosexual-identified literary translators – Mikhail Kuzmin, Ivan Likhachev and Gennadii Shmakov – is examined in order to demonstrate how, under conditions of institutionalized homophobia, they were able to circulate translations of texts that were open to queer interpretations. Queer readings of works by such authors as William Shakespeare, Charles Baudelaire, Constantine Cavafy and James Baldwin were enabled by a variety of factors including biographical information about the source text author, sub-cultural interpretive traditions, and access to alternative interpretations, often from abroad. One effect of successful evasion of this kind is to establish alternative interpretive communities within the official literary culture. Keywords: productive censorshipinterpretive communitiesSoviet censorqueer translationMikhail KuzminIvan LikhachevGennadii Shmakov Notes 1. My choice of sexuality-related terminology is motivated by the desire to avoid essentializing the notion of “gay” and “straight” identities. I refer to the translators under discussion as “homosexual-identified” in recognition of the fact that these men led – or, to use Judith Butler's (Citation1990) concept, “performed” – what appears to have been a more or less “open” homosexual lifestyle – as far as the criminalization of homosexuality permitted: never marrying, they pursued relationships with members of the same sex and showed an interest in literary works that portrayed same-sex liaisons or relationships. These were risky choices in Soviet society. I refer to the texts under discussion as “queer”, however, in recognition of the fact that these texts avoid any implication of a “gay” or “straight” identity, leaving themselves open to a variety of sexual interpretations. It is precisely this “queer” quality that allowed the texts to circulate in Russian. Any explicit representation of homosexuality as a social type or identity would have been unthinkable in Soviet Russia, as well as in most Soviet-era émigré communities 2. While Larkosh focuses largely on the invisibility of the closet, he does recognize how the closet implicates a community of readers, although only toward the end of his article on the Sur group: “Once again: Is translation a closet? For those still seeking straight answers to the speculative questions of translation theory, the answer would be, somewhat predictably: yes, especially if the translator wants it to be, and there are enough readers and collaborators embedded in his or her social milieu willing or otherwise compelled to play along” (2007, 83; emphasis added) . The role of the audience is certainly implied if not directly addressed in Harvey's excellent study of English/French translations of “gay-themed” literature, where he assumes the existence of a French reading public (Citation2003). Another work that suggests a growing scholarly interest in reader response in translation studies is Leo Tak-hung CitationChan's Readers, Reading and Reception of Translated Fiction in Chinese: Novel Encounters (2010). For more on the role of literary translation in the construction of the Soviet-era intelligentsia, see Baer (2006a). 3. V.D. Stel'makh, a librarian at the Russian State Library, cautioned that any investigation of censorship must include the reader: “In the triad that was selected as the theme for this session (Writer, Editor, and Translator), one link was left out – the reader [...], the reading public, which was forcibly inscribed within a specific set of coordinates, and was forced to live and survive within that system of coordinates. And it seems to me, we mustn't forget about that” (qtd in Gromova 1995, 49). For an example of a study that recognizes the crucial role of the reader in decoding censored translations, see Tomaszkiewicz Citation2002 4. This was also the view of the regime, which used psychiatric hospitals to “treat” dissidents 5. I do not wish to present a celebration of the closet but rather to suggest what a complex cultural phenomenon it is. Many Russian writers who were forced to work as translators in order to survive, such as Anna Akhmatova and Boris Pasternak, were very conscious of translation as a deferral or marginalization of their “original” literary voice. Akhmatova described translation as “like eating one's children” and Pasternak stated famously: “Mayakovsky shot himself while I translate”. At the same time, while Larkosh's depiction of the closet is largely negative, he does recognize the particular kind of agency offered by the closet when he refers to homosexual-identified translators who work under conditions of homophobia as “cultural double agents” (2007, 84). 6. The publication in post-Soviet Russia of the first Russian anthology of “gay” literature, Liubov’ bez granits [Love without Boundaries], edited by V.N. Dumenkov (Citation1997), and the first “gay” history of St Petersburg, K.K. CitationRotikov's Drugoi Peterburg [The Other Petersburg] (1998), reveals the existence of a homosexual subculture in Russia, with its own cultural history, folklore and closet canon. For more on the emergence of a visible homosexual subculture in post-Soviet Russia, see Baer (Citation2000) 7. For more on the censorship of erotic literature in Russia, see Baer (Citation2006b). 8. All translations from the Russian are my own unless otherwise indicated. 9. For more on the treatment of Sappho in Russia, see Diane L. Burgin (Citation1994, 174–7). 10. Of course, the opposition of the censor and the intelligentsia is not absolute. After all, censors were educated and, in regard to the censorship of the foreign press and literary translations, were required to know foreign languages. Moreover, it was relatively well-paid work. For more on the ambiguous status of the censor in Soviet Russia, see Masha Gessen's article “My Grandmother, the Censor” (Citation1998). 11. In the original: “Lecteur paisible et bucolique,/Sobre et naïf homme de bien,/Jette ce livre saturnien,/Orgiaque et mélancolique.//Si tu n'as fait ta rhétorique/Chez Satan, le rusé doyen,/Jette! tu n'y comprendrais rien,/Ou tu me croirais hystérique.//Mais si, sans se laisser charmer,/Ton œil sait plonger dans les gouffres,/Lis-moi, pour apprendre à m'aimer;//Âme curieuse qui souffres/Et vas cherchant ton paradis,/Plains-moi!… Sinon, je te maudis!” [Quiet and bucolic reader,/ Upright man, sober and naive,/Throw away this book, saturnine,/Orgiac and melancholy.//If you did not do your rhetoric/With Satan, that artful dean,/Throw it away, you'd grasp nothing,/Or else think me hysterical.//But if, without being entranced,/Your eye can plunge in the abyss,/Read me, to learn to love me;//Inquisitive soul that suffers/And keeps on seeking paradise,/Pity me!... or else, I curse you! (Baudelaire Citation2008, 411–12)]. 12. Shmakov acknowledges the intensity of such identification in the introduction to a republication of Kuzmin's novella Chudesnaia zhizn’ Iosifa Bal'zamo, Grafa Kaliostro [The Marvelous Life of Joseph Balzamo, Count Caliostro] by the émigré publishing house Russica: “The writers of biographies, as a rule, choose the life of a famous individual according to the principle of elective affinity: he is either the imaginary alter ego of the [biography's] author or the ideal person the author would have liked to be, or else he possesses related psychological traits and inclinations, which the hero of the biography can set in motion, having produced in the author a kind of inferiority complex. Sometimes these invisible, often unconscious, active psychological impulses are complicated by profoundly literary tasks, stylization” (Shmakov 1982, ii–iii). 13. For more on the association of homosexuality, suffering and Russianness, see chapter four in Baer (2009). 14. closeness/as in the bar two days ago, and nothing else./It is, I don't deny, a pity. But we who belong to Art/sometimes – with intensity of mind, and of course only/for a little while – create a pleasure/that gives the impression of being almost real./So it was in the bar two days ago – with a good deal of help,/besides, from some merciful alcohol – /I had half an hour that was utterly erotic./And it seems to me you understood,/and you stayed somewhat longer purposely./It was rather necessary, that. Because/for all the imagination, for all that liquior's a magician,/I needed to see your lips as well,/needed to have your body close to me (CavafyCitation2010, 328)]. 15. For more on the representation of the artistic, spiritual homosexual in Russian culture, see Baer (2009), especially chapter two. 16. It was an especially complex field given the shifting boundaries of permitted dissent in Soviet Russia. For more on this, see Reddaway (Citation1972) and Spechler (Citation1982).",en
1,2011,history_book_history,Constitutive,Censura e mercê,T Fonseca,CEQE9NAL,"Este artigo parte da análise dos documentos da Real Mesa Censória–em particular, os pedidos feitos à censura para ler, possuir e comercializar os livros proibidos de circular no …",pt
103,2012,history_book_history,Constitutive,Redacted: The archives of censorship in transwar Japan,J Abel,GM8ALKVY,"… censorship in Japan, more indexes of banned books circulated, more essays on censorship … on, against, and in favor of censorship. The extant archive of the Japanese imperial censor (…",en
14,2012,sociology_anthropology,Constitutive,"Censure, culture and political economy: Beyond the death of deviance debate",C Sumner,T8VN8NEF,"… It is no longer a case of who censures wins but whose censures win. The battle for control of societies has become a slanging match; the question is whether stigma can, like mud, be …",en
11,2012,arts_literary_cultural_studies,Constitutive,"When Literary Censorship Is Not Strictly Enforced, Self-Censorship Rushes In","Ben-Ari, Nitsa",KHK89D34,"Understanding literary translation as part of a power game has led to renewed interest in issues of censorship in translation. In an effort to untangle the intricate relations between formal law and (internalized) norms, this essay will focus on voluntary or self-imposed censorship in areas where formal censorship (i.e., legislated law, religious law) is not strictly enforced. It will first briefly describe certain aspects of formal censorship in Israel, then present cases in which the borderline between formal censorship and self-censorship seems blurred. Two particular cases will be examined: one has to do with the attitude of translators towards the use of the words “pig and pork,” the other with the Committee established by the Ministry of Education in the 1960s to censor obscenity in literature. These cases will help shed light on the deep roots of self-censorship mechanisms and the reduced need for formal censorship when subordinate groups or individuals feel that working with the consensus is more beneficial than working against it. The case of a book banned in the Orthodox community—and therefore pre-censored for translation—will examine another aspect of censorship, that of the corrective measures applied when voluntary self-censorship is not exercised. , Envisager la traduction littéraire comme un acteur dans les rapports de force conduit à un renouveau d’intérêt pour la question de la censure en traduction. Afin de tenter de démêler les liens complexes entre la loi formelle et les normes (intériorisées), cet article se penchera sur le rôle que joue la censure volontaire – ou autocensure – dans les domaines où la censure formelle (par exemple, la loi édictée par le droit ou la loi religieuse) n’est pas rigoureusement appliquée. Nous décrirons d’abord brièvement certains aspects de la censure formelle en Israël, pour ensuite présenter des cas où la frontière entre la censure formelle et l’autocensure semble floue. Nous examinerons d’abord l’attitude des traducteurs à l’égard de l’usage des mots « cochon   » et « porc », puis nous nous pencherons sur le cas du Comité de censure établi par le ministère de l’Éducation pendant les années 1960, dont le mandat était d’expurger la littérature de toute obscénité. Ces deux cas nous aideront à mettre en évidence les racines profondes des mécanismes d’autocensure et le besoin quasiment nul de censure formelle quand des groupes ou des individus opprimés comprennent que travailler en accord avec le consensus est plus avantageux que de s’y opposer. L’exemple d’un livre interdit dans la communauté orthodoxe – et donc soumis à une censure préalable à sa traduction – servira à éclaircir un autre aspect de la censure, à savoir les mesures correctives mises en application quand l’autocensure volontaire n’est pas exercée.",fr
1150,2013,arts_literary_cultural_studies,Constitutive,Censorship and interpretation,A Patterson,N4ITWBFB,"The principles of the hermeneutics of censorship can perhaps be clarified by turning to a famous case: Ben Jonson’s Sejanus. Jonson, as his editors have pointed out, had a long …",en
522,2013,sociology_anthropology,Constitutive,"Innocence, knowledge and the construction of childhood: The contradictory nature of sexuality and censorship in children's contemporary lives",KH Robinson,UPNXE632,"Innocence, Knowledge and the Construction of Childhood provides a critical examination of the way we regulate children’s access to certain knowledge and explores how this …",en
