Language,LanguageName,Country,Items
en,English,Antigua and Barbuda,1
en,English,Austrian Empire,1
en,English,Britain,1
en,English,Bulgaria,1
en,English,Central African Republic,1
en,English,Chad,1
en,English,Eastern Europe,1
en,English,El Salvador,1
en,English,Fiji,1
en,English,Gambia,1
en,English,Global South,1
en,English,Latin America,1
en,English,Lithuania,1
en,English,Macedonia,1
en,English,Mozambique,1
en,English,Namibia,1
en,English,Nicaragua,1
en,English,North America,1
en,English,Northern Ireland,1
en,English,Palestinian Territory,1
en,English,Papua New Guinea,1
en,English,Republic of Korea,1
en,English,Republic of the Congo,1
en,English,Russian Federation,1
en,English,Serbia,1
en,English,Somalia,1
en,English,South Asia,1
en,English,South Sudan,1
en,English,Sudan (North),1
en,English,Tajikistan,1
en,English,Togo,1
en,English,UAE,1
en,English,US,1
en,English,United American Emirates,1
en,English,West Germany,1
es,Spanish,Austria,1
es,Spanish,Bolivia,1
es,Spanish,Bosnia and Herzegovina,1
es,Spanish,Dominican Republic,1
es,Spanish,Egypt,1
es,Spanish,England,1
es,Spanish,España,1
es,Spanish,Finland,1
es,Spanish,Honduras,1
es,Spanish,Indonesia,1
es,Spanish,Iran,1
es,Spanish,Ireland,1
es,Spanish,Kenya,1
es,Spanish,Malaysia,1
es,Spanish,New Zealand,1
es,Spanish,Nicaragua,1
es,Spanish,Panama,1
es,Spanish,Poland,1
es,Spanish,Romania,1
es,Spanish,Senegal,1
es,Spanish,South Africa,1
es,Spanish,Thailand,1
es,Spanish,USSR,1
fr,French,Africa,1
fr,French,Algeria,1
fr,French,Allemagne,1
fr,French,Ancient Rome,1
fr,French,Argentina,1
fr,French,Armenia,1
fr,French,Australia,1
fr,French,Austria,1
fr,French,Austria-Hungary,1
fr,French,Baltic States,1
fr,French,Bosnia and Herzegovina,1
fr,French,Burkina Faso,1
fr,French,Cambodia,1
fr,French,Caucasus,1
fr,French,East Germany,1
fr,French,Ecuador,1
fr,French,Espagne,1
fr,French,Europe,1
fr,French,Fédération de Russie,1
fr,French,Holy See,1
fr,French,Italie,1
fr,French,Japan,1
fr,French,Kazakhstan,1
fr,French,Kenya,1
fr,French,Lebanon,1
fr,French,Libya,1
fr,French,Lithuania,1
fr,French,Mali,1
fr,French,Malta,1
fr,French,Morocco,1
fr,French,Netherlands,1
fr,French,New Zealand,1
fr,French,Niger,1
fr,French,Republic of Korea,1
fr,French,Royaume-Uni,1
fr,French,Saudi Arabia,1
fr,French,Senegal,1
fr,French,Singapore,1
fr,French,South Korea,1
fr,French,Uzbekistan,1
fr,French,Zimbabwe,1
fr,French,États-Unis d’Amérique,1
hu,Hungarian,Spain,1
it,Italian,Canada,1
it,Italian,Cuba,1
it,Italian,Egypt,1
it,Italian,Europe,1
it,Italian,Honduras,1
it,Italian,Iran,1
it,Italian,Israel,1
it,Italian,Kenya,1
it,Italian,Morocco,1
it,Italian,North Korea,1
it,Italian,Norway,1
it,Italian,Palestine,1
it,Italian,Portugal,1
it,Italian,Soviet Union,1
it,Italian,Syria,1
it,Italian,Trinidad,1
it,Italian,Tunisia,1
it,Italian,Turkey,1
it,Italian,Uganda,1
it,Italian,Vatican,1
pt,Portuguese,Alemanha,1
pt,Portuguese,Ancient Rome,1
pt,Portuguese,Austria,1
pt,Portuguese,Cambodia,1
pt,Portuguese,Cuba,1
pt,Portuguese,Czech Republic,1
pt,Portuguese,Denmark,1
pt,Portuguese,Espanha,1
pt,Portuguese,Estonia,1
pt,Portuguese,Europa,1
pt,Portuguese,Filipinas,1
pt,Portuguese,Finland,1
pt,Portuguese,Greece,1
pt,Portuguese,Iraq,1
pt,Portuguese,Irlanda,1
pt,Portuguese,Japan,1
pt,Portuguese,Letônia,1
pt,Portuguese,Malásia,1
pt,Portuguese,New Zealand,1
pt,Portuguese,North Korea,1
pt,Portuguese,Norway,1
pt,Portuguese,Pakistan,1
pt,Portuguese,Quênia,1
pt,Portuguese,Serbia,1
pt,Portuguese,South Africa,1
pt,Portuguese,Sweden,1
pt,Portuguese,Switzerland,1
pt,Portuguese,Venezuela,1
pt,Portuguese,Índia,1
so,Somali,Brazil,1
so,Somali,Canada,1
so,Somali,United Kingdom,1
so,Somali,United States,1
und,undetermined,(unspecified),1
und,undetermined,Algeria,1
und,undetermined,Argentina,1
und,undetermined,Australia,1
und,undetermined,Belarus,1
und,undetermined,Britain,1
und,undetermined,Egypt,1
und,undetermined,Iran,1
und,undetermined,Italy,1
und,undetermined,Malawi,1
und,undetermined,Myanmar,1
und,undetermined,New Zealand,1
und,undetermined,Philippines,1
und,undetermined,Portugal,1
und,undetermined,Saudi Arabia,1
und,undetermined,South Korea,1
und,undetermined,Soviet Union,1
und,undetermined,Vietnam,1
und,undetermined,Zimbabwe,1
vi,Vietnamese,China,1
