name_today;section;url
Terms of Service;Terms of Service;https://twitter.com/TOS
Terms of Service;Terms of Service;https://twitter.com/tos/index
Terms of Service;Terms of Service;https://www.twitter.com/tos
Terms of Service;Terms of Service;https://www.twitter.com/tos/index
Twitter Rules;General;http://help.twitter.com/en/rules-and-policies/twitter-rules
Twitter Rules;General;http://support.twitter.com/groups/33-report-a-violation/topics/121-guidelines-best-practices/articles/18311-the-twitter-rules
Twitter Rules;General;http://support.twitter.com/groups/33-report-a-violation/topics/121-guidelines-best-practices/articles/18311-the-twitter-rules/index
Twitter Rules;General;http://support.twitter.com%3A80/groups/33-report-a-violation/topics/121-guidelines-best-practices/articles/18311-the-twitter-rules
Twitter Rules;General;https://help.twitter.com/en/rules-and-policies/twitter-rules
Twitter Rules;General;https://support.twitter.com/groups/33-report-a-violation/topics/121-guidelines-best-practices/articles/18311-the-twitter-rules
Username squatting policy;Authenticity;https://support.twitter.com/articles/18370
Username squatting policy;Authenticity;http://support.twitter.com/articles/18370
Violent and hateful entities policy;Safety and cybercrime;https://help.twitter.com/en/rules-and-policies/violent-groups
Violent content;Safety and cybercrime;http://help.twitter.com/en/rules-and-policies/glorification-of-violence
Violent content;Safety and cybercrime;https://help.twitter.com/en/rules-and-policies/glorification-of-violence
Violent content;Safety and cybercrime;https://help.twitter.com/en/rules-and-policies/violent-threats-glorification
Violent content;Safety and cybercrime;https://help.x.com/en/rules-and-policies/violent-content
Violent content;Safety and cybercrime;http://help.twitter.com/en/rules-and-policies/violent-groups
Suicide and self-harm policy;Safety and cybercrime;https://help.twitter.com/en/rules-and-policies/glorifying-self-harm
Violent and hateful entities policy;Safety and cybercrime;https://help.twitter.com/en/rules-and-policies/violent-entities
Violent and hateful entities policy;Safety and cybercrime;http://help.twitter.com/en/rules-and-policies/violent-entities
X Moments guidelines and policies;Platform use guidelines;https://help.twitter.com/en/rules-and-policies/x-moments-guidelines-and-principles
