ID,Date of capture,Type (contemporary name),Branch 0 (pre-section),Branch 1 (section),Branch 2 (title),Branch 3 (specifics 1),Branch 4 (specifics 2),Branch 5 (specifics 3),Technique 1,Technique 2,Technique 3,Technique 4,Technique 5
11,2010-05-29,Platform manipulation and spam,Help Center,Report a violation,The Twitter Rules,Spam and abuse,Spam,"Following and unfollowing people in a short time period, particularly by automated means",Investigate for abuse,Suspension,,,
12,2010-05-29,Platform manipulation and spam,Help Center,Report a violation,The Twitter Rules,Spam and abuse,Spam,"Repeatedly following and unfollowing people, whether to build followers or to garner more attention for your profile",Investigate for abuse,Suspension,,,
13,2010-05-29,Platform manipulation and spam,Help Center,Report a violation,The Twitter Rules,Spam and abuse,Spam,Having a small number of followers compared to the amount of people you are following,Investigate for abuse,Suspension,,,
14,2010-05-29,Platform manipulation and spam,Help Center,Report a violation,The Twitter Rules,Spam and abuse,Spam,"If your updates consist mainly of links, and not personal updates",Investigate for abuse,Suspension,,,
15,2010-05-29,Platform manipulation and spam,Help Center,Report a violation,The Twitter Rules,Spam and abuse,Spam,Posting misleading links,Investigate for abuse,Suspension,,,
16,2010-05-29,Platform manipulation and spam,Help Center,Report a violation,The Twitter Rules,Spam and abuse,Spam,Being blocked by a large number of people,Investigate for abuse,Suspension,,,
17,2010-05-29,Platform manipulation and spam,Help Center,Report a violation,The Twitter Rules,Spam and abuse,Spam,Having a large number of spam complains filed against you,Investigate for abuse,Suspension,,,
18,2010-05-29,Platform manipulation and spam,Help Center,Report a violation,The Twitter Rules,Spam and abuse,Spam,Posting duplicate content over multiple accounts or multiple duplicate updates on one account,Investigate for abuse,Suspension,,,
19,2010-05-29,Platform manipulation and spam,Help Center,Report a violation,The Twitter Rules,Spam and abuse,Spam,Posting multiple unlrelated updates to a topic using #,Investigate for abuse,Suspension,,,
20,2010-05-29,Platform manipulation and spam,Help Center,Report a violation,The Twitter Rules,Spam and abuse,Spam,Posting multiple unrelated updates to a trending or popular topic,Investigate for abuse,Suspension,,,
21,2010-05-29,Platform manipulation and spam,Help Center,Report a violation,The Twitter Rules,Spam and abuse,Spam,Sending a large number of duplicate @replies or mentions,Investigate for abuse,Suspension,,,
22,2010-05-29,Platform manipulation and spam,Help Center,Report a violation,The Twitter Rules,Spam and abuse,Spam,Sending a large number of unsolicited @replies or mentions in an attempt to spam a service or link,Investigate for abuse,Suspension,,,
23,2010-05-29,Platform manipulation and spam,Help Center,Report a violation,The Twitter Rules,Spam and abuse,Spam,Repeatedly posting other users' Tweets as your own,Investigate for abuse,Suspension,,,
24,2010-05-29,Platform manipulation and spam,Help Center,Report a violation,The Twitter Rules,Spam and abuse,Spam,"Attempting to ""sell"" followers, particularly through tactics considered aggressive following or follower churn",Investigate for abuse,Suspension,,,
25,2010-05-29,Platform manipulation and spam,Help Center,Report a violation,The Twitter Rules,Spam and abuse,Spam,Using or promoting third-party sites that claim to get you more followers,Investigate for abuse,Suspension,,,
26,2010-05-29,Sensitive media,Help Center,Report a violation,The Twitter Rules,Pornography,Obscene or pornographic images,,Investigate for abuse,Suspension,,,
3,2010-05-29,Username squatting,Help Center,Report a violation,The Twitter Rules,Spam and abuse,Serial accounts,"Creating serial accounts for disruptive or abusive purposes, or with overlapping use cases",Investigate for abuse,Suspension,,,
4,2010-05-29,Username squatting,Help Center,Report a violation,The Twitter Rules,Spam and abuse,Name squatting,Creating accounts for the purpose of preventing others from using those account names,Investigate for abuse,Suspension,,,
5,2010-05-29,Username squatting,Help Center,Report a violation,The Twitter Rules,Spam and abuse,Name squatting,Creating accounts for the purpose of selling those accounts,Investigate for abuse,Suspension,,,
6,2010-05-29,Username squatting,Help Center,Report a violation,The Twitter Rules,Spam and abuse,Name squatting,Using feeds of third-party content to update and maintain accounts under the names of those third parties,Investigate for abuse,Suspension,,,
8,2010-05-29,Username squatting,Help Center,Report a violation,The Twitter Rules,Spam and abuse,Selling user names,"Reproducing, duplicating, copying, selling, trading or reselling the Services for any purpose",Investigate for abuse,Suspension,,,
2,2010-05-29,Violent threats,Help Center,Report a violation,The Twitter Rules,Violence and threats,"Publishing or posting direct, specific threats of violence against others",,Investigate for abuse,Suspension,Permanent suspension,,
310,2010-06-01,Violent threats,Help Center,Report a violation,Harassment and violent threats policy,Threats with physicality,,,Call authorities,Report,,,
311,2010-06-01,Violent threats,Help Center,Report a violation,Harassment and violent threats policy,Threats with violence,,,Call authorities,Report,,,
309,2010-06-01,Violent threats,Help Center,Report a violation,Harassment and violent threats policy,Threats with specificity,,,Report,Call authorities,,,
27,2010-07-23,Platform manipulation and spam,Help Center,Report a violation,The Twitter Rules,Spam and abuse,Spam,Creating false or misleading Points of Interest,Investigate for abuse,Suspension,,,
28,2010-07-23,Platform manipulation and spam,Help Center,Report a violation,The Twitter Rules,Spam and abuse,Spam,Creating Points of Interest to namesquat or spam,Investigate for abuse,Suspension,,,
29,2011-02-11,Platform manipulation and spam,Help Center,Guidelines and best practices,The Twitter Rules,Spam and abuse,Spam,Sending a large number of duplicate @replies or mentions,Investigate for abuse,Suspension,,,
30,2011-02-11,Platform manipulation and spam,Help Center,Guidelines and best practices,The Twitter Rules,Spam and abuse,Spam,Sending a large number of unsolicited @replies or mentions in an attempt to spam a service or link,Investigate for abuse,Suspension,,,
31,2013-09-13,Abusive behavior,Help Center,Policies & violations,The Twitter Rules,Abuse and spam,Targeted abuse,Having the sole purpose of your account be to send abusive messages to others,Investigate for abuse,Suspension,,,
32,2013-09-13,Abusive behavior,Help Center,Policies & violations,The Twitter Rules,Abuse and spam,Targeted abuse,Behaving in a one-sided manner or including threats,Investigate for abuse,Suspension,,,
53,2014-09-06,Abusive behavior,Help Center,Policies & violations,The Twitter Rules,Abuse and spam,Targeted abuse,Sending messages to a user from multiple accounts,Investigate for abuse,Suspension,,,
33,2014-09-06,Platform manipulation and spam,Help Center,Policies & violations,The Twitter Rules,Abuse and spam,Spam,Following a large amount of users in a short amount of time,Investigate for abuse,Suspension,,,
34,2014-09-06,Platform manipulation and spam,Help Center,Policies & violations,The Twitter Rules,Abuse and spam,Spam,"Following and unfollowing people in a short time period, particularly by automated means",Investigate for abuse,Suspension,,,
35,2014-09-06,Platform manipulation and spam,Help Center,Policies & violations,The Twitter Rules,Abuse and spam,Spam,"Repeatedly following and unfollowing people, whether to build followers or to garner more attention for your profile",Investigate for abuse,Suspension,,,
36,2014-09-06,Platform manipulation and spam,Help Center,Policies & violations,The Twitter Rules,Abuse and spam,Spam,Having a small number of followers compared to the amount of people you are following,Investigate for abuse,Suspension,,,
37,2014-09-06,Platform manipulation and spam,Help Center,Policies & violations,The Twitter Rules,Abuse and spam,Spam,"If your updates consist mainly of links, and not personal updates",Investigate for abuse,Suspension,,,
38,2014-09-06,Platform manipulation and spam,Help Center,Policies & violations,The Twitter Rules,Abuse and spam,Spam,Posting misleading links,Investigate for abuse,Suspension,,,
39,2014-09-06,Platform manipulation and spam,Help Center,Policies & violations,The Twitter Rules,Abuse and spam,Spam,Being blocked by a large number of people,Investigate for abuse,Suspension,,,
40,2014-09-06,Platform manipulation and spam,Help Center,Policies & violations,The Twitter Rules,Abuse and spam,Spam,Having a large number of spam complains filed against you,Investigate for abuse,Suspension,,,
41,2014-09-06,Platform manipulation and spam,Help Center,Policies & violations,The Twitter Rules,Abuse and spam,Spam,Posting duplicate content over multiple accounts or multiple duplicate updates on one account,Investigate for abuse,Suspension,,,
42,2014-09-06,Platform manipulation and spam,Help Center,Policies & violations,The Twitter Rules,Abuse and spam,Spam,"Posting multiple unlrelated updates to a topic using #, trending or popular topic, or promoted trend",Investigate for abuse,Suspension,,,
43,2014-09-06,Platform manipulation and spam,Help Center,Policies & violations,The Twitter Rules,Abuse and spam,Spam,Sending a large number of duplicate @replies or mentions,Investigate for abuse,Suspension,,,
44,2014-09-06,Platform manipulation and spam,Help Center,Policies & violations,The Twitter Rules,Abuse and spam,Spam,Sending a large number of unsolicited @replies or mentions,Investigate for abuse,Suspension,,,
45,2014-09-06,Platform manipulation and spam,Help Center,Policies & violations,The Twitter Rules,Abuse and spam,Spam,Adding a large number of unrelated users to lists,Investigate for abuse,Suspension,,,
46,2014-09-06,Platform manipulation and spam,Help Center,Policies & violations,The Twitter Rules,Abuse and spam,Spam,Repeatedly creating false or misleding content,Investigate for abuse,Suspension,,,
47,2014-09-06,Platform manipulation and spam,Help Center,Policies & violations,The Twitter Rules,Abuse and spam,Spam,"Randomly or aggressively, favoriting or Retweeting Tweets",Investigate for abuse,Suspension,,,
48,2014-09-06,Platform manipulation and spam,Help Center,Policies & violations,The Twitter Rules,Abuse and spam,Spam,Repeatedly posting other users' account information as your own,Investigate for abuse,Suspension,,,
49,2014-09-06,Platform manipulation and spam,Help Center,Policies & violations,The Twitter Rules,Abuse and spam,Spam,Posting misleading links,Investigate for abuse,Suspension,,,
50,2014-09-06,Platform manipulation and spam,Help Center,Policies & violations,The Twitter Rules,Abuse and spam,Spam,Creating misleading accounts or account interactions,Investigate for abuse,Suspension,,,
51,2014-09-06,Platform manipulation and spam,Help Center,Policies & violations,The Twitter Rules,Abuse and spam,Spam,Selling or purchasing account interactions,Investigate for abuse,Suspension,,,
52,2014-09-06,Platform manipulation and spam,Help Center,Policies & violations,The Twitter Rules,Abuse and spam,Spam,Using or promoting third-party services or apps that claim to get you more followers,Investigate for abuse,Suspension,,,
54,2016-01-30,Abusive behavior,Help Center,Policies and reporting,The Twitter Rules,Abusive behavior,"Behavior that harasses, intimidates, or uses fear to silence another user's voice",,Report,Lock temporarily,Permanent suspension,,
56,2016-01-30,Abusive behavior,Help Center,Policies and reporting,The Twitter Rules,Abusive behavior,Harassment,Inciting or engaging in the targeted abuse or harassment of others,Report,Lock temporarily,Permanent suspension,,
57,2016-01-30,Abusive behavior,Help Center,Policies and reporting,The Twitter Rules,Abusive behavior,Harassment,Behaving in a one-sided manner or including threats,Report,Lock temporarily,Permanent suspension,,
58,2016-01-30,Abusive behavior,Help Center,Policies and reporting,The Twitter Rules,Abusive behavior,Harassment,Inciting others to harass another account,Report,Lock temporarily,Permanent suspension,,
59,2016-01-30,Abusive behavior,Help Center,Policies and reporting,The Twitter Rules,Abusive behavior,Harassment,Sending harassing messages to an account from multiple accounts,Report,Lock temporarily,Permanent suspension,,
60,2016-01-30,Hateful conduct,Help Center,Policies and reporting,The Twitter Rules,Abusive behavior,Hateful conduct,"Promoting violence against or directly attack or threaten other people on the basis of race, ethnicity, national origin, sexual orientation, gender, gender identity, religious affiliation, age, disability, or disease",Report,Lock temporarily,Permanent suspension,,
64,2016-01-30,Self-harm,Help Center,Policies and reporting,The Twitter Rules,Abusive behavior,Self-harm,,Reach out,,,,
61,2016-01-30,Misleading and deceptive identities,Help Center,Policies and reporting,The Twitter Rules,Abusive behavior,Multiple account abuse,Creating multiple accounts with overlapping users or in order to evade the temporary or permanent suspension of a separate account,Report,Lock temporarily,Permanent suspension,,
63,2016-01-30,Misleading and deceptive identities,Help Center,Policies and reporting,The Twitter Rules,Abusive behavior,Impersonation,"Impersonating others through the Twitter service in a manner that is intended to or does mislead, confuse, or deceive others",Report,Lock temporarily,Permanent suspension,,
62,2016-01-30,Private information,Help Center,Policies and reporting,The Twitter Rules,Abusive behavior,Private information,Publishing or posting other people's private and confidential information,Report,Lock temporarily,Permanent suspension,,
55,2016-01-30,Violent threats,Help Center,Policies and reporting,The Twitter Rules,Abusive behavior,Violent threats,"Making threats of violence or promoting violence, including threatening or promoting terrorism",Report,Lock temporarily,Permanent suspension,,
65,2016-06-17,Sensitive media,Help Center,Policies and reporting,The Twitter Rules,Graphic content,Pornographic or excessively violent media,,Tweet removal,,,,
73,2017-12-04,Child sexual exploitation,Help Center,Policies and reporting,The Twitter Rules,Child sexual exploitation,,,Zero tolerance,,,,
72,2017-12-04,Glorifying self-harm,Help Center,Policies and reporting,The Twitter Rules,Suicide or self-harm,Promoting or encouraging suicide or self-harm,,Reach out,,,,
78,2017-12-04,Hateful conduct,Help Center,Policies and reporting,The Twitter Rules,Hateful imagery and display names,Using hateful images or symbols in your profile image or profile header,,Ask to remove content,Lock account,Verification,Permanent suspension,
79,2017-12-04,Hateful conduct,Help Center,Policies and reporting,The Twitter Rules,Hateful imagery and display names,"Using your username, display name, or profile bio to engage in abusive behavior, such as targeted harassment or expressing hate towards a person, group, or protected category",,Ask to remove content,Lock account,Verification,Permanent suspension,
76,2017-12-04,Intimate media,Help Center,Policies and reporting,The Twitter Rules,Unwanted sexual advances,"Directing abuse at someone by sending unwanted sexual content, objectifying them in a sexually explicit manner, or otherwise engaging in sexual misconduct",,Ask to remove content,Lock account,Verification,Permanent suspension,
80,2017-12-04,Misleading and deceptive identities,Help Center,Policies and reporting,The Twitter Rules,Impersonation,"Impersonating individuals, groups, or organizations in a manner that is intended to or does mislead, confuse, or deceive others",,Ask to remove content,Lock account,Verification,Permanent suspension,
81,2017-12-04,Misleading and deceptive identities,Help Center,Policies and reporting,The Twitter Rules,Impersonation,Engaging in spamming or abusive behavior,,Ask to remove content,Lock account,Verification,Permanent suspension,
82,2017-12-04,Platform manipulation and spam,Help Center,Policies and reporting,The Twitter Rules,Spam and security,"Accessing, tampering with, or use non-public areas of Twitter, Twitter's computer systems, or the technical delivery systems of Twitter's providers",,Account locked,Permanent suspension,,,
84,2017-12-04,Platform manipulation and spam,Help Center,Policies and reporting,The Twitter Rules,Spam and security,"Probing, scanning, or testing the vulnerability of any system or network, or breaching or circumventing any security or authentication measures",,Account locked,Permanent suspension,,,
85,2017-12-04,Platform manipulation and spam,Help Center,Policies and reporting,The Twitter Rules,Spam and security,"Accessing or searching, or attempting to access or search, Twitter by any means other than through our currently available, published interfaces that are provided by Twitter",,Account locked,Permanent suspension,,,
86,2017-12-04,Platform manipulation and spam,Help Center,Policies and reporting,The Twitter Rules,Spam and security,"Forging any TCP/IP packet header or any part of the header information in any email or posting, or in any way using Twitter to send altered, deceptive, or false source-identifying information",,Account locked,Permanent suspension,,,
87,2017-12-04,Platform manipulation and spam,Help Center,Policies and reporting,The Twitter Rules,Spam and security,"Interfering with or disrupting the access of any user, host or ntweork, including, without limitation, sending a virus, overloading, flooding, spamming, mail-bombing Twitter's services, or by scripting the creating of content in such a manner as to interfere with or create an undue burden on Twitter",,Account locked,Permanent suspension,,,
88,2017-12-04,Platform manipulation and spam,Help Center,Policies and reporting,The Twitter Rules,Malware/Phishing,Pushing or linking to malicious content intended to damage or disrupt another person's browser or computer or to compromise a person's privacy,,Account locked,Permanent suspension,,,
89,2017-12-04,Platform manipulation and spam,Help Center,Policies and reporting,The Twitter Rules,Spam,Creating false or misleading Points of Interest,Investigation for abuse,Suspension,,,,
90,2017-12-04,Platform manipulation and spam,Help Center,Policies and reporting,The Twitter Rules,Spam,Creating Points of Interest to namesquat or spam,Investigation for abuse,Suspension,,,,
91,2017-12-04,Platform manipulation and spam,Help Center,Policies and reporting,The Twitter Rules,Spam,Sending a large number of duplicate @replies or mentions,Investigation for abuse,Suspension,,,,
92,2017-12-04,Platform manipulation and spam,Help Center,Policies and reporting,The Twitter Rules,Spam,Sending a large number of unsolicited @replies or mentions in an attempt to spam a service or link,Investigation for abuse,Suspension,,,,
93,2017-12-04,Platform manipulation and spam,Help Center,Policies and reporting,The Twitter Rules,Spam,Following a large amount of users in a short amount of time,Investigation for abuse,Suspension,,,,
94,2017-12-04,Platform manipulation and spam,Help Center,Policies and reporting,The Twitter Rules,Spam,"Following and unfollowing people in a short time period, particularly by automated means",Investigation for abuse,Suspension,,,,
95,2017-12-04,Platform manipulation and spam,Help Center,Policies and reporting,The Twitter Rules,Spam,"Repeatedly following and unfollowing people, whether to build followers or to garner more attention for your profile",Investigation for abuse,Suspension,,,,
96,2017-12-04,Platform manipulation and spam,Help Center,Policies and reporting,The Twitter Rules,Spam,Having a small number of followers compared to the amount of people you are following,Investigation for abuse,Suspension,,,,
97,2017-12-04,Platform manipulation and spam,Help Center,Policies and reporting,The Twitter Rules,Spam,"If your updates consist mainly of links, and not personal updates",Investigation for abuse,Suspension,,,,
98,2017-12-04,Platform manipulation and spam,Help Center,Policies and reporting,The Twitter Rules,Spam,Posting misleading links,Investigation for abuse,Suspension,,,,
99,2017-12-04,Platform manipulation and spam,Help Center,Policies and reporting,The Twitter Rules,Spam,Being blocked by a large number of people,Investigation for abuse,Suspension,,,,
100,2017-12-04,Platform manipulation and spam,Help Center,Policies and reporting,The Twitter Rules,Spam,Having a large number of spam complains filed against you,Investigation for abuse,Suspension,,,,
101,2017-12-04,Platform manipulation and spam,Help Center,Policies and reporting,The Twitter Rules,Spam,Posting duplicate content over multiple accounts or multiple duplicate updates on one account,Investigation for abuse,Suspension,,,,
102,2017-12-04,Platform manipulation and spam,Help Center,Policies and reporting,The Twitter Rules,Spam,"Posting multiple unlrelated updates to a topic using #, trending or popular topic, or promoted trend",Investigation for abuse,Suspension,,,,
103,2017-12-04,Platform manipulation and spam,Help Center,Policies and reporting,The Twitter Rules,Spam,Sending a large number of duplicate @replies or mentions,Investigation for abuse,Suspension,,,,
104,2017-12-04,Platform manipulation and spam,Help Center,Policies and reporting,The Twitter Rules,Spam,Sending a large number of unsolicited @replies or mentions,Investigation for abuse,Suspension,,,,
105,2017-12-04,Platform manipulation and spam,Help Center,Policies and reporting,The Twitter Rules,Spam,Adding a large number of unrelated users to lists,Investigation for abuse,Suspension,,,,
106,2017-12-04,Platform manipulation and spam,Help Center,Policies and reporting,The Twitter Rules,Spam,Repeatedly creating false or misleding content,Investigation for abuse,Suspension,,,,
107,2017-12-04,Platform manipulation and spam,Help Center,Policies and reporting,The Twitter Rules,Spam,"Randomly or aggressively, favoriting or Retweeting Tweets",Investigation for abuse,Suspension,,,,
108,2017-12-04,Platform manipulation and spam,Help Center,Policies and reporting,The Twitter Rules,Spam,Repeatedly posting other users' account information as your own,Investigation for abuse,Suspension,,,,
109,2017-12-04,Platform manipulation and spam,Help Center,Policies and reporting,The Twitter Rules,Spam,Posting misleading links,Investigation for abuse,Suspension,,,,
110,2017-12-04,Platform manipulation and spam,Help Center,Policies and reporting,The Twitter Rules,Spam,Creating misleading accounts or account interactions,Investigation for abuse,Suspension,,,,
111,2017-12-04,Platform manipulation and spam,Help Center,Policies and reporting,The Twitter Rules,Spam,Selling or purchasing account interactions,Investigation for abuse,Suspension,,,,
112,2017-12-04,Platform manipulation and spam,Help Center,Policies and reporting,The Twitter Rules,Spam,Using or promoting third-party services or apps that claim to get you more followers,Investigation for abuse,Suspension,,,,
66,2017-12-04,Sensitive media,Help Center,Policies and reporting,The Twitter Rules,Graphic violence and adult content,"Gory media related to death, serious injury, violence, or surgical procedures",,Tweet removal,,,,
67,2017-12-04,Sensitive media,Help Center,Policies and reporting,The Twitter Rules,Graphic violence and adult content,Any media that is pronographic and/or may be intended to cause sexual arousal,,Tweet removal,,,,
68,2017-12-04,Violent groups,Help Center,Policies and reporting,The Twitter Rules,Violence,Making specific threats of violence,,Tweet removal,,,,
69,2017-12-04,Violent groups,Help Center,Policies and reporting,The Twitter Rules,Violence,"Wishing for the serious physical harm, death, or disease of an individual or group of people",,Tweet removal,,,,
70,2017-12-04,Violent groups,Help Center,Policies and reporting,The Twitter Rules,Violence,Threatening or promoting terrorism,,Tweet removal,,,,
71,2017-12-04,Violent groups,Help Center,Policies and reporting,The Twitter Rules,Violence,Affiliating oneself with organizations that use or promote violence against civilians to further their causes,,Tweet removal,,,,
74,2017-12-07,Abusive behavior,Help Center,Policies and reporting,The Twitter Rules,Abuse,"Engaging in targeted harassment of someone, or inciting other people to do so",,Reduce visibility,,,,
75,2017-12-07,Abusive behavior,Help Center,Policies and reporting,The Twitter Rules,Abuse,"Attempting to harass, intimidate, or silence someone else's voice",,Reduce visibility,,,,
113,2017-12-18,Hateful conduct,Help Center,Twitter Rules & Policies,Hateful conduct policy,"Content that promote violence against or directly attack or threaten other people on the basis of race, ethnicity, national origin, sexual orientation, identity, religious affiliation, age, disability, or disease",violent threats,,Report,Tweet removal,Suspension,,
114,2017-12-18,Hateful conduct,Help Center,Twitter Rules & Policies,Hateful conduct policy,"Content that promote violence against or directly attack or threaten other people on the basis of race, ethnicity, national origin, sexual orientation, identity, religious affiliation, age, disability, or disease","whishes for the physical harm, death, or disease of individuals or groups",,Report,Tweet removal,Suspension,,
115,2017-12-18,Hateful conduct,Help Center,Twitter Rules & Policies,Hateful conduct policy,"Content that promote violence against or directly attack or threaten other people on the basis of race, ethnicity, national origin, sexual orientation, identity, religious affiliation, age, disability, or disease","references to mass murder, violent events, or specific means of violence in which/with which such groups have been the primary tragets or victims",,Report,Tweet removal,Suspension,,
116,2017-12-18,Hateful conduct,Help Center,Twitter Rules & Policies,Hateful conduct policy,"Content that promote violence against or directly attack or threaten other people on the basis of race, ethnicity, national origin, sexual orientation, identity, religious affiliation, age, disability, or disease",behavior that incites fear about a protected group,,Report,Tweet removal,Suspension,,
117,2017-12-18,Hateful conduct,Help Center,Twitter Rules & Policies,Hateful conduct policy,"Content that promote violence against or directly attack or threaten other people on the basis of race, ethnicity, national origin, sexual orientation, identity, religious affiliation, age, disability, or disease","repeated and/or or non-consesnuals slurs, epithets, racist and sexist tropes, or other content that degrades someone",,Report,Tweet removal,Suspension,,
118,2017-12-18,Hateful conduct,Help Center,Twitter Rules & Policies,Hateful conduct policy,Accounts whose primary purpose is inciting harm towards others on the basis of these categories,,,Report,Tweet removal,Suspension,,
77,2017-12-18,Hateful conduct,Help Center,Policies and reporting,The Twitter Rules,Hateful conduct,"Promoting violence against, threaten, or harassing other people on the basis of race, ethnicity, national origin, sexual orientation, gender, gender identity, religious affiliation, age, disability, or serious diseases",,Ask to remove Tweet,Suspension,,,
403,2017-12-20,Violent groups,Help Center,Twitter Rules & Policies,Twitter media policy,Violent extremist groups,"Identified groups subscribing to the use of violence as a means to advance their cause, whether political, religious, or social",,Permanent suspension,,,,
404,2017-12-20,Violent groups,Help Center,Twitter Rules & Policies,Twitter media policy,Violent extremist groups,Groups affiliated to violent extremist groups,Stating or suggesting that an account represents or is part of a violent extremist group,Permanent suspension,,,,
405,2017-12-20,Violent groups,Help Center,Twitter Rules & Policies,Twitter media policy,Violent extremist groups,Groups affiliated to violent extremist groups,Providing or distributing services in furtherance of progressing a violent extremist group's stated goals,Permanent suspension,,,,
406,2017-12-20,Violent groups,Help Center,Twitter Rules & Policies,Twitter media policy,Violent extremist groups,Groups affiliated to violent extremist groups,Engaging in or promoting acts for the violent extremist group,Permanent suspension,,,,
407,2017-12-20,Violent groups,Help Center,Twitter Rules & Policies,Twitter media policy,Violent extremist groups,Groups affiliated to violent extremist groups,Recruiting for the violent extremist group,Permanent suspension,,,,
386,2018-01-03,Sensitive media,Help Center,Twitter Rules & Policies,Twitter media policy,Graphic violence,"Media that depicts death, violence, surgical procedures or serious injury in graphic detail",Gruesome crime or accident scenes,Mark as sensitive media,Ask to remove content,Report,,
387,2018-01-03,Sensitive media,Help Center,Twitter Rules & Policies,Twitter media policy,Graphic violence,"Media that depicts death, violence, surgical procedures or serious injury in graphic detail",Physical altercations,Mark as sensitive media,Ask to remove content,Report,,
388,2018-01-03,Sensitive media,Help Center,Twitter Rules & Policies,Twitter media policy,Graphic violence,"Media that depicts death, violence, surgical procedures or serious injury in graphic detail","Bodily fluids including blood, feces, semen, etc",Mark as sensitive media,Ask to remove content,Report,,
389,2018-01-03,Sensitive media,Help Center,Twitter Rules & Policies,Twitter media policy,Graphic violence,"Media that depicts death, violence, surgical procedures or serious injury in graphic detail","Serious bodily harm, including visible wounds, broken bones, etc",Mark as sensitive media,Ask to remove content,Report,,
390,2018-01-03,Sensitive media,Help Center,Twitter Rules & Policies,Twitter media policy,Graphic violence,"Media that depicts death, violence, surgical procedures or serious injury in graphic detail",Severely injured or mutilated animals,Mark as sensitive media,Ask to remove content,Report,,
391,2018-01-03,Sensitive media,Help Center,Twitter Rules & Policies,Twitter media policy,Intimate media,Photos or videos of someone that were produced or distributed without their consent,,Mark as sensitive media,Ask to remove content,Report,,
378,2018-02-27,Hateful conduct,Help Center,Twitter Rules & Policies,Twitter media policy,Hateful imagery,"Logos, symbols, or images whose purpose is to promote hostility and malice against others based on their race, religion, disability, sexual orientation, gender identity or ethnicity/national origin","Symbols historically associated with hate groups, e.g., the Nazi swastika",Warning message,Remove imagery,Permanent suspension,,
372,2018-02-27,Sensitive media,Help Center,Twitter Rules & Policies,Twitter media policy,Graphic violence,"Gory media related to death, serious injury, violence, or surgical procedures",Depictions of the moment at which someone dies,Warning message,Remove imagery,Permanent suspension,,
373,2018-02-27,Sensitive media,Help Center,Twitter Rules & Policies,Twitter media policy,Graphic violence,"Gory media related to death, serious injury, violence, or surgical procedures",Depictions of gruesome crime or accident scenes,Warning message,Remove imagery,Permanent suspension,,
374,2018-02-27,Sensitive media,Help Center,Twitter Rules & Policies,Twitter media policy,Graphic violence,"Gory media related to death, serious injury, violence, or surgical procedures","Depictions of bodily harm, torture, dismemberment, or mutilation",Warning message,Remove imagery,Permanent suspension,,
375,2018-02-27,Sensitive media,Help Center,Twitter Rules & Policies,Twitter media policy,Adult content,Any media that is pornographic and/or may be intended to cause sexual arousal,"Depictions of full or partial nudity (including close-upts of genitals, buttocks, or breats)",Warning message,Remove imagery,Permanent suspension,,
376,2018-02-27,Sensitive media,Help Center,Twitter Rules & Policies,Twitter media policy,Adult content,Any media that is pornographic and/or may be intended to cause sexual arousal,Simulating a sexual act,Warning message,Remove imagery,Permanent suspension,,
